CPF;CLIT;IDADE_CLIENTE;ESCOLARIDADE;ESTADO_CIVIL;OCUPACAO;TIPO_RESIDENCIA;POSSUI_VEICULO;PORTABILIDADE;QT_DEPENDENTES;RENDA_BRUTA;RENDA_LIQUIDA;TEMPO_RELAC;COMP_RENDA
63092951559;1;38;POS;CASADO;EMPRESARIO;PROPRIA;NAO;SIM;0;22423.24;18176.26;55;0.24548913405688733
69759791263;2;38;FUNDAM;CASADO;ASSALARIADO;PROPRIA;SIM;NAO;2;1412.0;1083.33;3;0.9617719362490128
47718198297;3;26;MEDIO;CASADO;AUTONOMO;PROPRIA;NAO;NAO;0;3581.4;2843.96;18;0.4460484177441416
86858842149;4;34;FUNDAM;DIVORCIADO;APOSENTADO;PROPRIA;SIM;SIM;1;3227.57;2559.35;32;0.3258616052268549
25184366311;5;36;SUPERIOR;DIVORCIADO;ASSALARIADO;FINANCIADA;SIM;NAO;0;22888.69;18324.91;89;0.1180532697683181
80080544242;6;27;SUPERIOR;SOLTEIRO;EMPRESARIO;PROPRIA;SIM;NAO;1;27633.17;21364.84;57;0.18534859705966428
89987066636;7;43;POS;CASADO;APOSENTADO;ALUGADA;SIM;SIM;3;39159.78;30947.4;100;0.09144065725339853
30310788761;8;27;FUNDAM;VIUVO;APOSENTADO;CEDIDA;SIM;NAO;0;1720.1;1382.7;21;0.7721339796014116
60537272042;9;38;POS;CASADO;EMPRESARIO;PROPRIA;SIM;SIM;0;13784.28;10922.08;41;0.18861153484324675
41030242880;10;24;FUNDAM;CASADO;ASSALARIADO;PROPRIA;NAO;SIM;1;2136.71;1720.49;11;0.5551781479594355
95817841997;11;47;SUPERIOR;SOLTEIRO;SERVIDOR PUBLICO;PROPRIA;SIM;NAO;0;27446.59;21721.11;65;0.15989681132506944
45646826767;12;19;SUPERIOR;SOLTEIRO;ASSALARIADO;PROPRIA;SIM;SIM;1;2949.73;2361.36;1;0.9232711720199861
69412271416;13;28;MEDIO;SOLTEIRO;APOSENTADO;PROPRIA;SIM;NAO;0;2290.92;1779.66;20;0.4087212713797132
54220892612;14;52;POS;CASADO;AUTONOMO;FINANCIADA;NAO;NAO;1;24788.94;20233.44;28;0.12175852186302488
58521138519;15;59;SUPERIOR;SOLTEIRO;ASSALARIADO;PROPRIA;SIM;SIM;1;19586.11;15700.7;59;0.11986079552405733
19762426686;16;47;MEDIO;DIVORCIADO;EMPRESARIO;PROPRIA;SIM;NAO;0;9753.67;8096.22;92;0.15016459233898702
54738026849;17;42;POS;DIVORCIADO;SERVIDOR PUBLICO;PROPRIA;SIM;NAO;1;23093.04;17985.05;74;0.21531544275232306
41713958743;18;39;MEDIO;CASADO;ASSALARIADO;ALUGADA;SIM;SIM;4;4889.59;3870.72;37;0.18307012772119055
43461453555;19;35;MEDIO;CASADO;APOSENTADO;PROPRIA;NAO;NAO;0;7148.49;5793.57;67;0.2209037221753532
95319742450;20;40;POS;CASADO;ASSALARIADO;ALUGADA;SIM;NAO;0;22013.01;17507.65;60;0.16331288575311445
56992776817;21;47;SUPERIOR;CASADO;ASSALARIADO;ALUGADA;SIM;NAO;0;11695.13;9152.63;27;0.27951985103675386
96561560134;22;58;POS;CASADO;AUTONOMO;PROPRIA;NAO;NAO;0;34862.66;28533.65;87;0.110382753921717
35153335432;23;36;POS;SOLTEIRO;ASSALARIADO;FINANCIADA;SIM;SIM;1;24644.69;20361.87;28;0.2021148226814729
50896542530;24;31;SUPERIOR;SOLTEIRO;ASSALARIADO;PROPRIA;NAO;NAO;0;15853.46;12049.92;42;0.24344253468900148
20744922265;25;39;SUPERIOR;SOLTEIRO;ASSALARIADO;ALUGADA;NAO;SIM;1;9802.73;8112.69;31;0.4198763996207359
35869050492;26;40;MEDIO;CASADO;SERVIDOR PUBLICO;CEDIDA;NAO;NAO;0;3646.9;2799.1;1;0.3840906265647279
