CPF;CLIT;safra;produto;IDADE_CLIENTE;ESCOLARIDADE;ESTADO_CIVIL;OCUPACAO;TIPO_RESIDENCIA;POSSUI_VEICULO;PORTABILIDADE;QT_DEPENDENTES;RENDA_BRUTA;RENDA_LIQUIDA;TEMPO_RELAC;QT_PRODUTOS;COMP_RENDA;limite_total;limite_utilizado;taxa_utilizacao;parcelas_mensais;margem_disponivel;max_dias_atraso_12m;scr_classificacao_risco;scr_score_risco;scr_dias_atraso;scr_valor_vencido;scr_valor_prejuizo;scr_tem_prejuizo;CLASSE;v205;v210;v220;v230;v240;v245;v250;v255;v260;v270;v280;v290
63092951559;1;2025-06;cartao_credito;38;POS;CASADO;EMPRESARIO;PROPRIA;NAO;SIM;0;22423.24;18176.26;55;4;0.24548913405688733;78654.31;19308.78;0.2455;5504.66;2343.47;3;A;1;3;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69759791263;2;2024-12;consignado;38;FUNDAM;CASADO;ASSALARIADO;PROPRIA;SIM;NAO;2;1412.0;1083.33;3;4;0.9617719362490128;4247.9;4085.51;0.9618;1358.02;0.0;138;H;8;138;8301.56;0.0;0;1;837.55;234.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47718198297;3;2025-12;credito_pessoal;26;MEDIO;CASADO;AUTONOMO;PROPRIA;NAO;NAO;0;3581.4;2843.96;18;3;0.4460484177441416;15773.15;7035.59;0.446;1597.48;0.0;10;D;4;10;424.07;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86858842149;4;2025-06;cartao_credito;34;FUNDAM;DIVORCIADO;APOSENTADO;PROPRIA;SIM;SIM;1;3227.57;2559.35;32;3;0.3258616052268549;12551.72;4090.12;0.3259;1051.74;77.91;47;C;3;47;2465.13;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25184366311;5;2026-01;financiamento_veiculos;36;SUPERIOR;DIVORCIADO;ASSALARIADO;FINANCIADA;SIM;NAO;0;22888.69;18324.91;89;1;0.1180532697683181;138869.34;16393.98;0.1181;2702.08;5308.96;0;AA;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80080544242;6;2026-01;financiamento_veiculos;27;SUPERIOR;SOLTEIRO;EMPRESARIO;PROPRIA;SIM;NAO;1;27633.17;21364.84;57;2;0.18534859705966428;195750.99;36282.17;0.1853;5121.77;4549.84;0;A;1;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
89987066636;7;2024-06;consignado;43;POS;CASADO;APOSENTADO;ALUGADA;SIM;SIM;3;39159.78;30947.4;100;2;0.09144065725339853;298799.67;27322.44;0.0914;3580.8;10125.12;0;AA;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30310788761;8;2024-01;cartao_credito;27;FUNDAM;VIUVO;APOSENTADO;CEDIDA;SIM;NAO;0;1720.1;1382.7;21;5;0.7721339796014116;16055.03;12396.63;0.7721;1328.15;0.0;194;F;6;194;10513.69;0.0;0;1;319.49;995.07;0.0;0.0;817.17;0.0;0.0;0.0;0.0;0.0;0.0;3690.06
60537272042;9;2025-12;cartao_credito;38;POS;CASADO;EMPRESARIO;PROPRIA;SIM;SIM;0;13784.28;10922.08;41;3;0.18861153484324675;61702.18;11637.74;0.1886;2599.87;2224.63;0;B;2;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41030242880;10;2026-01;credito_pessoal;24;FUNDAM;CASADO;ASSALARIADO;PROPRIA;NAO;SIM;1;2136.71;1720.49;11;1;0.5551781479594355;17377.93;9647.85;0.5552;1186.25;0.0;6;C;3;6;383.5;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95817841997;11;2024-06;credito_pessoal;47;SUPERIOR;SOLTEIRO;SERVIDOR PUBLICO;PROPRIA;SIM;NAO;0;27446.59;21721.11;65;3;0.15989681132506944;161354.38;25800.05;0.1599;4388.62;5217.69;3;A;1;3;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45646826767;12;2024-06;consignado;19;SUPERIOR;SOLTEIRO;ASSALARIADO;PROPRIA;SIM;SIM;1;2949.73;2361.36;1;4;0.9232711720199861;15450.87;14265.34;0.9233;2723.4;0.0;232;G;7;232;2086.24;0.0;0;1;304.47;235.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
69412271416;13;2026-01;credito_pessoal;28;MEDIO;SOLTEIRO;APOSENTADO;PROPRIA;SIM;NAO;0;2290.92;1779.66;20;2;0.4087212713797132;12064.9;4931.18;0.4087;936.35;0.0;27;D;4;27;841.89;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54220892612;14;2025-06;consignado;52;POS;CASADO;AUTONOMO;FINANCIADA;NAO;NAO;1;24788.94;20233.44;28;2;0.12175852186302488;93502.89;11384.77;0.1218;3018.26;5657.87;0;B;2;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58521138519;15;2024-01;credito_pessoal;59;SUPERIOR;SOLTEIRO;ASSALARIADO;PROPRIA;SIM;SIM;1;19586.11;15700.7;59;5;0.11986079552405733;109413.69;13114.41;0.1199;2347.61;4507.53;0;AA;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19762426686;16;2025-12;credito_pessoal;47;MEDIO;DIVORCIADO;EMPRESARIO;PROPRIA;SIM;NAO;0;9753.67;8096.22;92;3;0.15016459233898702;76421.41;11475.79;0.1502;1464.66;1949.12;0;A;1;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54738026849;17;2026-01;credito_pessoal;42;POS;DIVORCIADO;SERVIDOR PUBLICO;PROPRIA;SIM;NAO;1;23093.04;17985.05;74;2;0.21531544275232306;86374.87;18597.84;0.2153;4972.29;3110.27;0;B;2;0;0.0;0.0;0;0;436.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41713958743;18;2025-12;financiamento_veiculos;39;MEDIO;CASADO;ASSALARIADO;ALUGADA;SIM;SIM;4;4889.59;3870.72;37;3;0.18307012772119055;21313.77;3901.91;0.1831;895.14;816.22;0;B;2;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43461453555;19;2024-12;imobiliario;35;MEDIO;CASADO;APOSENTADO;PROPRIA;NAO;NAO;0;7148.49;5793.57;67;2;0.2209037221753532;32026.84;7074.85;0.2209;1579.13;922.84;0;B;2;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95319742450;20;2026-01;consignado;40;POS;CASADO;ASSALARIADO;ALUGADA;SIM;NAO;0;22013.01;17507.65;60;4;0.16331288575311445;138512.4;22620.86;0.1633;3595.01;4109.54;0;AA;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56992776817;21;2024-12;credito_pessoal;47;SUPERIOR;CASADO;ASSALARIADO;ALUGADA;SIM;NAO;0;11695.13;9152.63;27;3;0.27951985103675386;32870.74;9188.02;0.2795;3269.02;824.28;0;C;3;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
96561560134;22;2025-06;consignado;58;POS;CASADO;AUTONOMO;PROPRIA;NAO;NAO;0;34862.66;28533.65;87;4;0.110382753921717;293657.36;32414.71;0.1104;3848.24;8353.69;0;AA;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35153335432;23;2026-01;cartao_credito;36;POS;SOLTEIRO;ASSALARIADO;FINANCIADA;SIM;SIM;1;24644.69;20361.87;28;4;0.2021148226814729;136919.39;27673.44;0.2021;4981.06;3644.58;0;B;2;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50896542530;24;2024-01;imobiliario;31;SUPERIOR;SOLTEIRO;ASSALARIADO;PROPRIA;NAO;NAO;0;15853.46;12049.92;42;4;0.24344253468900148;123124.47;29973.73;0.2434;3859.41;1689.3;0;B;2;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20744922265;25;2025-12;cartao_credito;39;SUPERIOR;SOLTEIRO;ASSALARIADO;ALUGADA;NAO;SIM;1;9802.73;8112.69;31;1;0.4198763996207359;50440.06;21178.59;0.4199;4115.93;0.0;56;C;3;56;1986.7;1584.07;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35869050492;26;2024-06;credito_pessoal;40;MEDIO;CASADO;SERVIDOR PUBLICO;CEDIDA;NAO;NAO;0;3646.9;2799.1;1;4;0.3840906265647279;25245.38;9696.51;0.3841;1400.74;0.0;0;D;4;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27691348187;27;2025-12;credito_pessoal;52;SUPERIOR;CASADO;SERVIDOR PUBLICO;ALUGADA;NAO;SIM;0;17546.66;14256.86;64;5;0.09702170374537629;76322.7;7404.96;0.097;1702.41;4438.92;0;A;1;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
